epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,205.79,1.74739,2.8987,1.14894,0.75929,0.61836,0.687,0.34355,1.44951,2.72634,0.99895,0.0033302,0.0033302,0.0033302
2,406.525,1.74926,1.63979,1.15874,0.76942,0.67165,0.71948,0.35654,1.49099,1.23006,1.01251,0.0065316,0.0065316,0.0065316
3,607.581,1.80526,1.40116,1.21188,0.75617,0.64721,0.70043,0.33968,1.52873,1.63182,1.079,0.00960099,0.00960099,0.00960099
4,807.656,1.82769,1.32977,1.25177,0.79476,0.68792,0.74683,0.38062,1.48355,1.16105,1.08766,0.009406,0.009406,0.009406
5,1008.7,1.76068,1.19369,1.21674,0.80123,0.70762,0.80076,0.42194,1.39876,1.04102,1.02719,0.009208,0.009208,0.009208
6,1208.43,1.71063,1.12923,1.19742,0.8052,0.74114,0.80383,0.42417,1.41984,0.96152,1.04178,0.00901,0.00901,0.00901
7,1407.47,1.67961,1.06504,1.1831,0.85605,0.77394,0.84867,0.46142,1.356,0.86732,1.02071,0.008812,0.008812,0.008812
8,1605.65,1.64172,1.02071,1.16397,0.84142,0.79292,0.85498,0.46661,1.32672,0.89353,0.99639,0.008614,0.008614,0.008614
9,1803.74,1.61671,0.98736,1.14243,0.86378,0.78407,0.86122,0.4707,1.3106,0.84938,0.98403,0.008416,0.008416,0.008416
10,1997.22,1.59006,0.97166,1.13495,0.85932,0.79646,0.86543,0.49542,1.27922,0.8133,0.9704,0.008218,0.008218,0.008218
11,2190.79,1.5682,0.93294,1.12314,0.86597,0.80995,0.8722,0.49787,1.28678,0.79152,0.97684,0.00802,0.00802,0.00802
12,2384.19,1.5649,0.92132,1.1204,0.8903,0.8153,0.89119,0.51283,1.25619,0.74462,0.95982,0.007822,0.007822,0.007822
13,2576.98,1.53433,0.89193,1.10524,0.90119,0.82195,0.89869,0.51415,1.24515,0.76339,0.95053,0.007624,0.007624,0.007624
14,2769.55,1.52677,0.88424,1.10769,0.87556,0.85254,0.89541,0.51904,1.24392,0.73823,0.95742,0.007426,0.007426,0.007426
15,2962.62,1.5125,0.86735,1.09971,0.90069,0.8204,0.90031,0.52301,1.23409,0.67896,0.94898,0.007228,0.007228,0.007228
16,3159.77,1.49944,0.85407,1.09957,0.88811,0.8531,0.9081,0.52715,1.22442,0.74828,0.93956,0.00703,0.00703,0.00703
17,3354.11,1.49826,0.84463,1.08837,0.88756,0.83982,0.90349,0.52921,1.22013,0.735,0.95244,0.006832,0.006832,0.006832
